split,group_type,group,n_assets,n_obs,positives,prevalence,contiguous_label_episodes,greedy_nonoverlap_positive_endpoints,mean_episode_windows,median_stressed_future_return,median_stressed_future_drawdown,median_stressed_volatility_ratio,volatility_only_positive_rate
validation,asset_ticker,VNQ,1,297,20,0.06734006734006734,4,3,5.0,-0.05610242142792493,-0.06432755945060326,1.8536502785588227,0.35
validation,asset_ticker,VT,1,297,21,0.0707070707070707,3,3,7.0,-0.027611536764079125,-0.03372634610682934,2.3147421252787708,0.9047619047619048
validation,asset_ticker,VTI,1,297,26,0.08754208754208755,5,5,5.2,-0.027010500850309593,-0.03341598784391975,2.2437889361674834,0.8076923076923077
validation,asset_ticker,VTV,1,297,5,0.016835016835016835,3,2,1.6666666666666667,-0.029373741307767265,-0.0385012218642683,2.0008104515845315,0.6
validation,asset_ticker,VUG,1,297,19,0.06397306397306397,7,5,2.7142857142857144,-0.0653290114578765,-0.07138562321360042,1.800566673406463,0.10526315789473684
validation,asset_ticker,VWO,1,297,12,0.04040404040404041,7,4,1.7142857142857142,-0.025119286678934594,-0.02912627049729144,2.1121803891677864,0.8333333333333334
validation,asset_ticker,XBI,1,297,49,0.16498316498316498,13,10,3.769230769230769,-0.06282046277202635,-0.07489471977657747,1.1456333195941457,0.0
validation,asset_ticker,XLB,1,297,18,0.06060606060606061,6,5,3.0,-0.05532249223929725,-0.0596671372890773,1.5012095917477755,0.2777777777777778
validation,asset_ticker,XLC,1,297,23,0.07744107744107744,8,6,2.875,0.006426686697408535,-0.025797365104444747,2.145357154155178,0.8695652173913043
validation,asset_ticker,XLE,1,297,30,0.10101010101010101,8,8,3.75,-0.060734598429706854,-0.06797172846331867,1.102586687421781,0.0
validation,asset_ticker,XLF,1,297,18,0.06060606060606061,5,4,3.6,0.04286388260744711,-0.019075509327020013,2.3874813851140164,0.8333333333333334
validation,asset_ticker,XLI,1,297,14,0.04713804713804714,4,3,3.5,0.036652339583466365,-0.012396902463794157,2.0569081879120357,0.8571428571428571
validation,asset_ticker,XLK,1,297,36,0.12121212121212122,10,6,3.6,-0.0666832429026849,-0.07814431489217194,1.4246964894381005,0.0
validation,asset_ticker,XLM-USD,1,438,214,0.4885844748858447,39,32,5.487179487179487,-0.06628129403950739,-0.09241141730195895,1.046085254746568,0.13551401869158877
validation,asset_ticker,XLP,1,297,0,0.0,0,0,,,,,
validation,asset_ticker,XLRE,1,297,18,0.06060606060606061,4,2,4.5,-0.062321558716092795,-0.06881756721221932,1.7537924708193215,0.2777777777777778
validation,asset_ticker,XLU,1,297,20,0.06734006734006734,7,5,2.857142857142857,-0.05436197358718342,-0.05713600178805095,1.0150457910988522,0.25
validation,asset_ticker,XLV,1,297,15,0.050505050505050504,3,3,5.0,0.012012114984122357,-0.00775602011903076,2.1122834554637597,0.6
validation,asset_ticker,XLY,1,297,26,0.08754208754208755,12,8,2.1666666666666665,-0.05694969114758358,-0.06204129948473791,1.6441578958766847,0.15384615384615385
